time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1757701337.96377468,0.00929880,12150,0.00122658,0.00000000,0,0.00000000,1392,2044,938,0.00000000
1757701338.06358075,0.00890206,11981,0.00114844,0.00000000,0,0.00000000,2044,2514,724,0.00107118
1757701338.16378736,0.00696709,11798,0.00094833,0.00000000,0,0.00000000,2514,2841,601,0.00037964
1757701338.26387000,0.00826523,11864,0.00104334,0.00000000,0,0.00000000,2841,3092,521,0.00187096
1757701338.36382961,0.00961627,12021,0.00202433,0.00000000,0,0.00000000,3092,3077,449,0.00042609
1757701338.46357775,0.00845359,12092,0.00086542,0.00000000,0,0.00000000,3077,3307,441,0.00083667
1757701338.56377649,0.00769239,11674,0.00116088,0.00000000,0,0.00000000,3307,3492,371,0.00046374
1757701338.66379070,0.00962158,11868,0.00062585,0.00000000,0,0.00000000,3343,3520,282,0.00044714
1757701338.76379514,0.01038476,12106,0.00123183,0.00000000,0,0.00000000,3520,3676,239,0.00065158
1757701338.86359215,0.00770616,11822,0.00053793,0.00000000,0,0.00000000,3676,3844,278,0.00084184
1757701338.96379137,0.00981495,11934,0.00052186,0.00000000,0,0.00000000,3844,4032,276,0.00035404
1757701339.06379795,0.00974533,12048,0.00097489,0.00000000,0,0.00000000,4032,4116,238,0.00030698
1757701339.16376138,0.01025933,11856,0.00069532,0.00000000,0,0.00000000,4116,4215,232,0.00039042
1757701339.26349616,0.00903189,11783,0.00049161,0.00000000,0,0.00000000,4215,4283,242,0.00066385
1757701339.36387372,0.00937743,11827,0.00067587,0.00000000,0,0.00000000,4283,4328,247,0.00045464
1757701339.46375108,0.00787286,12090,0.00051038,0.00000000,0,0.00000000,4328,4377,218,0.00031981
1757701339.56377244,0.00774139,12011,0.00062311,0.00000000,0,0.00000000,4377,4439,250,0.00040040
1757701339.66358399,0.00993751,11919,0.00104558,0.00000000,0,0.00000000,4439,4409,215,0.00027992
1757701339.76389384,0.00616924,11911,0.00049464,0.00000000,0,0.00000000,4409,4463,224,0.00040117
1757701339.86378551,0.01133112,12071,0.00051064,0.00000000,0,0.00000000,4463,4554,200,0.00065086
1757701339.96383071,0.01104680,11989,0.00050956,0.00000000,0,0.00000000,4554,4588,196,0.00038817
1757701340.06387901,0.00802790,11830,0.00041136,0.00000000,0,0.00000000,4588,4639,176,0.00044053
1757701340.16382122,0.00694372,11909,0.00043678,0.00000000,0,0.00000000,4639,4676,167,0.00048088
1757701340.26390338,0.00781647,11975,0.00048452,0.00000000,0,0.00000000,4676,4727,158,0.00029155
1757701340.36382079,0.00591547,11728,0.00042510,0.00000000,0,0.00000000,4727,4776,157,0.00034834
1757701340.46382284,0.00742639,11713,0.00038609,0.00000000,0,0.00000000,4776,4804,155,0.00061828
1757701340.56387711,0.01335774,11661,0.00087936,0.00000000,0,0.00000000,4804,4832,145,0.00029619
1757701340.66385388,0.00920166,11757,0.00039131,0.00000000,0,0.00000000,4832,4889,150,0.00057687
1757701340.76387358,0.01146529,11445,0.00061295,0.00000000,0,0.00000000,4889,4908,118,0.00041774
1757701340.86392498,0.01017614,11552,0.00047376,0.00000000,0,0.00000000,4908,4936,129,0.00038853
1757701340.96380186,0.00845048,11605,0.00042533,0.00000000,0,0.00000000,4936,4986,154,0.00085881
1757701341.06395221,0.00775259,11498,0.00032592,0.00000000,0,0.00000000,4986,5030,132,0.00054120
1757701341.16388726,0.00676033,11554,0.00032808,0.00000000,0,0.00000000,5030,5034,106,0.00078264
1757701341.26386499,0.01015590,11913,0.00042520,0.00000000,0,0.00000000,5034,5087,133,0.00037139
1757701341.36395311,0.00851833,11672,0.00050629,0.00000000,0,0.00000000,5087,5137,145,0.00057175
1757701341.46382117,0.00741896,11875,0.00053126,0.00000000,0,0.00000000,5137,5166,145,0.00081115
1757701341.56385040,0.00945503,12026,0.00043845,0.00000000,0,0.00000000,5166,5234,133,0.00049805
1757701341.66393709,0.00915427,12178,0.00116486,0.00000000,0,0.00000000,5234,5035,151,0.00091345
1757701341.76381135,0.00872738,12072,0.00051073,0.00000000,0,0.00000000,5035,5024,117,0.00040533
1757701341.86379957,0.00773852,12013,0.00031664,0.00000000,0,0.00000000,5024,5085,121,0.00079715
1757701341.96372843,0.00810425,12173,0.00026970,0.00000000,0,0.00000000,5085,5154,104,0.00050456
1757701342.06392550,0.01284865,11940,0.00043207,0.00000000,0,0.00000000,5154,5213,120,0.00065770
1757701342.16386795,0.00666972,11955,0.00034536,0.00000000,0,0.00000000,5213,5255,129,0.00052702
1757701342.26379800,0.00923859,12081,0.00038037,0.00000000,0,0.00000000,5255,5271,121,0.00066934
